Location,Total,Higher,Doctors,PhD,Master_of_Science,Bachelors,Others
Ukraine,7886,6806,7060,17949,37406,5645,10800
Autonomous_Republic_of_Crimea,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Vinnytsya,449,416,61,144,190,21,33
Volyn,127,117,NaN,53,NaN,NaN,10
Dnipropetrovsk,7679,6227,323,846,4918,140,1452
Donetsk,323,315,45,101,150,19,8
Zhytomyr,268,239,21,89,106,23,29
Zakarpattya,510,396,51,118,185,42,114
Zaporizhya,3646,2730,72,181,1978,499,916
Ivano-Frankivsk,458,447,68,137,211,31,11
Kyiv,1523,1271,81,303,777,110,252
Kirovohrad,132,132,NaN,41,47,NaN,NaN
Luhanskm,209,184,22,NaN,118,NaN,25
Lviv,3916,3708,564,1447,1493,204,208
Mykolayiv,1770,1447,73,235,978,161,323
Odesa,2159,1921,240,533,1002,146,238
Poltava,516,466,50,217,149,50,50
Rivne,253,245,36,144,51,14,8
Sumy,1148,1044,95,255,596,98,104
Ternopil,327,314,56,112,134,12,13
Kharkiv,11637,10427,1005,2820,5929,673,1210
Kherson,569,490,56,167,215,52,79
Khmelnytskiy,233,204,NaN,NaN,66,3,29
Cherkasy,462,366,43,116,178,29,96
Chernivtsi,552,459,60,178,199,22,93
Chernihiv,510,360,NaN,NaN,192,80,150
city_Kyiv,39484,34135,3956,9515,17497,3167,5349
city_Sevastopol,NaN,NaN,NaN,NaN,NaN,NaN,NaN
